step,op,left,right,value
382,S,381,381,4586997231980143023221641790604173881593129978336562247475016079799698130124395663081546815595623910607926
383,S,382,382,9173994463960286046443283581208347763186259956673124494950032159599396260248791326163093631191247821215852
384,S,383,383,18347988927920572092886567162416695526372519913346248989900064319198792520497582652326187262382495642431704
385,S,384,384,36695977855841144185773134324833391052745039826692497979800128638397585040995165304652374524764991284863408
386,S,385,385,73391955711682288371546268649666782105490079653384995959600257276795170081990330609304749049529982569726816
387,M,386,14,73391955711682288371546268649666782105490079653384995959600257276795170081990330609304749049529982569728571
388,S,387,387,146783911423364576743092537299333564210980159306769991919200514553590340163980661218609498099059965139457142
389,S,388,388,293567822846729153486185074598667128421960318613539983838401029107180680327961322437218996198119930278914284
390,S,389,389,587135645693458306972370149197334256843920637227079967676802058214361360655922644874437992396239860557828568
391,S,390,390,1174271291386916613944740298394668513687841274454159935353604116428722721311845289748875984792479721115657136
392,M,391,18,1174271291386916613944740298394668513687841274454159935353604116428722721311845289748875984792479721115661231
393,S,392,392,2348542582773833227889480596789337027375682548908319870707208232857445442623690579497751969584959442231322462
394,S,393,393,4697085165547666455778961193578674054751365097816639741414416465714890885247381158995503939169918884462644924
395,M,394,14,4697085165547666455778961193578674054751365097816639741414416465714890885247381158995503939169918884462646679
396,S,395,395,9394170331095332911557922387157348109502730195633279482828832931429781770494762317991007878339837768925293358
397,S,396,396,18788340662190665823115844774314696219005460391266558965657665862859563540989524635982015756679675537850586716
398,S,397,397,37576681324381331646231689548629392438010920782533117931315331725719127081979049271964031513359351075701173432
399,S,398,398,75153362648762663292463379097258784876021841565066235862630663451438254163958098543928063026718702151402346864
400,S,399,399,150306725297525326584926758194517569752043683130132471725261326902876508327916197087856126053437404302804693728
401,S,400,400,300613450595050653169853516389035139504087366260264943450522653805753016655832394175712252106874808605609387456
402,S,401,401,601226901190101306339707032778070279008174732520529886901045307611506033311664788351424504213749617211218774912
403,S,402,402,1202453802380202612679414065556140558016349465041059773802090615223012066623329576702849008427499234422437549824
404,S,403,403,2404907604760405225358828131112281116032698930082119547604181230446024133246659153405698016854998468844875099648
405,S,404,404,4809815209520810450717656262224562232065397860164239095208362460892048266493318306811396033709996937689750199296
406,M,405,17,4809815209520810450717656262224562232065397860164239095208362460892048266493318306811396033709996937689750201833
407,S,406,406,9619630419041620901435312524449124464130795720328478190416724921784096532986636613622792067419993875379500403666
408,S,407,407,19239260838083241802870625048898248928261591440656956380833449843568193065973273227245584134839987750759000807332
409,S,408,408,38478521676166483605741250097796497856523182881313912761666899687136386131946546454491168269679975501518001614664
410,S,409,409,76957043352332967211482500195592995713046365762627825523333799374272772263893092908982336539359951003036003229328
411,S,410,410,153914086704665934422965000391185991426092731525255651046667598748545544527786185817964673078719902006072006458656
412,S,411,411,307828173409331868845930000782371982852185463050511302093335197497091089055572371635929346157439804012144012917312
413,M,412,18,307828173409331868845930000782371982852185463050511302093335197497091089055572371635929346157439804012144012921407
414,S,413,413,615656346818663737691860001564743965704370926101022604186670394994182178111144743271858692314879608024288025842814
415,S,414,414,1231312693637327475383720003129487931408741852202045208373340789988364356222289486543717384629759216048576051685628
416,S,415,415,2462625387274654950767440006258975862817483704404090416746681579976728712444578973087434769259518432097152103371256
417,S,416,416,4925250774549309901534880012517951725634967408808180833493363159953457424889157946174869538519036864194304206742512
418,M,417,0,4925250774549309901534880012517951725634967408808180833493363159953457424889157946174869538519036864194304206742513
419,S,418,418,9850501549098619803069760025035903451269934817616361666986726319906914849778315892349739077038073728388608413485026
420,S,419,419,19701003098197239606139520050071806902539869635232723333973452639813829699556631784699478154076147456777216826970052
421,S,420,420,39402006196394479212279040100143613805079739270465446667946905279627659399113263569398956308152294913554433653940104
422,M,421,17,39402006196394479212279040100143613805079739270465446667946905279627659399113263569398956308152294913554433653942641
